Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Chine,90728,1439323774,4739,#1c819a,6.3035156952809,3.2925183934327
France,671638,65273512,32521,#1c819a,1028.9594958519,498.2266007075
Allemagne,314660,83783945,9589,#1c819a,375.56121283141,114.44913461642
Italie,338398,60461828,36083,#1c819a,559.68866836114,596.78976295589
Portugal,82534,10196707,2050,#1c819a,809.41817784899,201.04529825168
Espagne,848324,46754783,32688,#1c819a,1814.4111587471,699.13702732831
Suisse,58745,8654618,1790,#1c819a,678.77057080971,206.82599740393
Royaume-Uni,561815,67886004,42592,#1c819a,827.5859041578,627.40472984682
États-Unis,7606594,331002647,212773,#1c819a,2298.0462751405,642.81359055114
