Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27756,25499881,907,#1c819a,108.84756677884,35.568793438683
Belgique,538353,11589616,14667,#1c819a,4645.1323322533,1265.5294187486
France,2036755,65273512,46273,#1c819a,3120.3392273423,708.90930458897
Allemagne,833307,83783945,13119,#1c819a,994.59031202219,156.58131161048
Italie,1238072,60461828,46464,#1c819a,2047.6919751748,768.48486949485
Pays-Bas,456453,17134873,8604,#1c819a,2663.8831813927,502.13386466302
Nouvelle-Zélande,1652,4822233,25,#1c819a,34.257987948737,5.1843202101599
Portugal,230124,10196707,3553,#1c819a,2256.8462543839,348.44582667718
Espagne,1510023,46754783,41688,#1c819a,3229.6652943507,891.6307022535
Suède,192439,10099270,6225,#1c819a,1905.4743560673,616.38118398657
Suisse,273487,8654618,3293,#1c819a,3160.0123772072,380.49050807326
Royaume-Uni,1410732,67886004,52745,#1c819a,2078.0896162337,776.9642767602
États-Unis,11359802,331002647,248687,#1c819a,3431.9369053263,751.31423344781
