Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Chine,90528,1439323774,4739,#1c819a,6.2896202810862,3.2925183934327
France,550690,65273512,31893,#1c819a,843.6653446807,488.60554645811
Allemagne,289219,83783945,9488,#1c819a,345.19620674343,113.24365306504
Italie,313011,60461828,35875,#1c819a,517.70019259094,593.34957586793
Portugal,74717,10196707,1963,#1c819a,732.75617314492,192.51313193563
Espagne,758172,46754783,31614,#1c819a,1621.5923833932,676.1661154539
Suisse,52751,8654618,1781,#1c819a,609.51274799188,205.78609015441
Royaume-Uni,446156,67886004,42072,#1c819a,657.21352519144,619.74482987686
États-Unis,7191061,331002647,205998,#1c819a,2172.5086083677,622.34547628859
