Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Chine,91618,1439323774,4739,#1c819a,6.3653502884473,3.2925183934327
France,1922504,65273512,43892,#1c819a,2945.3049806788,672.43202725173
Allemagne,773556,83783945,12378,#1c819a,923.27473956973,147.73713508
Italie,1107303,60461828,44139,#1c819a,1831.4084053165,730.03085517031
Portugal,204664,10196707,3250,#1c819a,2007.157801043,318.73035088681
Espagne,1458591,46754783,40769,#1c819a,3119.6615755868,871.97495922503
Suisse,256186,8654618,2956,#1c819a,2960.107540275,341.55175884135
Royaume-Uni,1317496,67886004,51304,#1c819a,1940.7476097724,755.7375154973
États-Unis,10739614,331002647,244345,#1c819a,3244.5704278613,738.19651357652
