Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27784,25499881,907,#1c819a,108.95737121283,35.568793438683
Belgique,548574,11589616,15062,#1c819a,4733.3233473827,1299.6116523619
France,2086288,65273512,47127,#1c819a,3196.2245267269,721.99271275613
Allemagne,879564,83783945,13630,#1c819a,1049.8001735297,162.68033213284
Italie,1308528,60461828,47870,#1c819a,2164.221697035,791.73921106057
Pays-Bas,466697,17134873,8759,#1c819a,2723.6676921971,511.17974437278
Nouvelle-Zélande,1657,4822233,25,#1c819a,34.36167435294,5.1843202101599
Portugal,243009,10196707,3701,#1c819a,2383.2105796509,362.96031650218
Espagne,1541574,46754783,42291,#1c819a,3297.1471603237,904.52777847349
Suède,201055,10099270,6340,#1c819a,1990.7874529545,627.76814561845
Suisse,284560,8654618,3456,#1c819a,3287.9556324727,399.32438381451
Royaume-Uni,1453256,67886004,53775,#1c819a,2140.7299212957,792.13677093146
États-Unis,11717827,331002647,252555,#1c819a,3540.1006929108,762.99994060168
