Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Chine,91560,1439323774,4739,#1c819a,6.3613206183309,3.2925183934327
France,1787324,65273512,40439,#1c819a,2738.2071919158,619.53154903018
Allemagne,671868,83783945,11352,#1c819a,801.90542472069,135.49135219164
Italie,935104,60461828,41394,#1c819a,1546.602262836,684.63030922585
Portugal,179324,10196707,2896,#1c819a,1758.6461982285,284.01326035945
Espagne,1328832,46754783,38833,#1c819a,2842.1306115355,830.56743093001
Suisse,211160,8654618,2404,#1c819a,2439.8534978667,277.77078087098
Royaume-Uni,1192013,67886004,49044,#1c819a,1755.9039120936,722.44641178173
États-Unis,9971651,331002647,237572,#1c819a,3012.5592923128,717.73444156173
