Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Chine,90955,1439323774,4739,#1c819a,6.3192869903919,3.2925183934327
France,867197,65273512,33392,#1c819a,1328.5588187748,511.57045142599
Allemagne,361974,83783945,9777,#1c819a,432.03265255653,116.69300126653
Italie,402536,60461828,36474,#1c819a,665.76882194167,603.25665310682
Portugal,98055,10196707,2162,#1c819a,961.63398634481,212.02923649763
Espagne,936560,46754783,33775,#1c819a,2003.1319576438,722.38598562205
Suisse,74227,8654618,1822,#1c819a,857.65772677662,210.52344540221
Royaume-Uni,705428,67886004,43579,#1c819a,1039.1361376934,641.94380921287
États-Unis,8106752,331002647,219289,#1c819a,2449.1502027173,662.49923372969
