Date,Health Authority,Metric,Count
2020-01-25,Vancouver Coastal,Positivity,0
2020-01-25,Vancouver Coastal,Turn Around,0
2020-01-25,Vancouver Island,New Tests,1
2020-01-25,Vancouver Island,Total Tests,1
2020-01-25,Vancouver Island,Positivity,0
2020-01-25,Vancouver Island,Turn Around,56
2020-01-26,BC,New Tests,20
2020-01-26,BC,Total Tests,26
2020-01-26,BC,Positivity,0
2020-01-26,BC,Turn Around,88.4
2020-01-26,Fraser,New Tests,13
2020-01-26,Fraser,Total Tests,16
2020-01-26,Fraser,Positivity,0
2020-01-26,Fraser,Turn Around,94.8
2020-01-26,Interior,New Tests,0
2020-01-26,Interior,Total Tests,0
2020-01-26,Interior,Positivity,0
2020-01-26,Interior,Turn Around,0
2020-01-26,Northern,New Tests,0
2020-01-26,Northern,Total Tests,0
2020-01-26,Northern,Positivity,0
2020-01-26,Northern,Turn Around,0
2020-01-26,Unknown,New Tests,0
2020-01-26,Unknown,Total Tests,0
2020-01-26,Unknown,Positivity,0
2020-01-26,Unknown,Turn Around,0
2020-01-26,Vancouver Coastal,New Tests,7
2020-01-26,Vancouver Coastal,Total Tests,9
2020-01-26,Vancouver Coastal,Positivity,0
2020-01-26,Vancouver Coastal,Turn Around,76.6
2020-01-26,Vancouver Island,New Tests,0
2020-01-26,Vancouver Island,Total Tests,0
2020-01-26,Vancouver Island,Positivity,0
2020-01-26,Vancouver Island,Turn Around,0
2020-01-27,BC,New Tests,10
2020-01-27,BC,Total Tests,36
2020-01-27,BC,Positivity,0
2020-01-27,BC,Turn Around,63.2
2020-01-27,Fraser,New Tests,4
2020-01-27,Fraser,Total Tests,20
2020-01-27,Fraser,Positivity,0
2020-01-27,Fraser,Turn Around,44
2020-01-27,Interior,New Tests,0
2020-01-27,Interior,Total Tests,0
2020-01-27,Interior,Positivity,0
2020-01-27,Interior,Turn Around,0
2020-01-27,Northern,New Tests,0
2020-01-27,Northern,Total Tests,0
2020-01-27,Northern,Positivity,0
2020-01-27,Northern,Turn Around,0
2020-01-27,Unknown,New Tests,0
2020-01-27,Unknown,Total Tests,0
2020-01-27,Unknown,Positivity,0
2020-01-27,Unknown,Turn Around,0
2020-01-27,Vancouver Coastal,New Tests,6
2020-01-27,Vancouver Coastal,Total Tests,15
2020-01-27,Vancouver Coastal,Positivity,0
2020-01-27,Vancouver Coastal,Turn Around,76
2020-01-27,Vancouver Island,New Tests,0
2020-01-27,Vancouver Island,Total Tests,0
2020-01-27,Vancouver Island,Positivity,0
2020-01-27,Vancouver Island,Turn Around,0
2020-01-28,BC,New Tests,3
2020-01-28,BC,Total Tests,39
2020-01-28,BC,Positivity,0
2020-01-28,BC,Turn Around,88
2020-01-28,Fraser,New Tests,3
2020-01-28,Fraser,Total Tests,23
2020-01-28,Fraser,Positivity,0
2020-01-28,Fraser,Turn Around,88
2020-01-28,Interior,New Tests,0
2020-01-28,Interior,Total Tests,0
2020-01-28,Interior,Positivity,0
2020-01-28,Interior,Turn Around,0
2020-01-28,Northern,New Tests,0
2020-01-28,Northern,Total Tests,0
2020-01-28,Northern,Positivity,0
2020-01-28,Northern,Turn Around,0
2020-01-28,Unknown,New Tests,0
2020-01-28,Unknown,Total Tests,0
2020-01-28,Unknown,Positivity,0
2020-01-28,Unknown,Turn Around,0
