Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2492;8,5;1856,3;360;268,2
Anjou;738;2,5;1724,5;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;62;0,2;320,8;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2383;8,2;1431,1;258;154,9
Côte-Saint-Luc;546;1,9;1682,7;63;194,2
Dollard-des-Ormeaux;450;1,5;920,3;82;167,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;60;0,2;860,5;< 5;n.p.
Kirkland;138;0,5;684,8;23;*114,1
Lachine;703;2,4;1580,2;100;224,8
LaSalle;1299;4,5;1690,2;183;238,1
L'Île-Bizard–Sainte-Geneviève;223;0,8;1211,1;46;249,8
Mercier–Hochelaga-Maisonneuve;2494;8,5;1833,5;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2658;9,1;3155,5;247;293,2
Montréal-Ouest;31;0,1;*613,9;< 5;n.p.
Mont-Royal;292;1;1440,1;75;369,9
Outremont;283;1;1181,4;11;*45,9
Pierrefonds–Roxboro;583;2;841,3;39;56,3
Plateau Mont-Royal;1087;3,7;1045,2;139;133,7
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2248;7,7;2106;242;226,7
Rosemont–La Petite Patrie;1773;6,1;1270,1;239;171,2
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1169;4;1182,9;120;121,4
Saint-Léonard;1205;4,1;1538,9;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1049;3,6;1342,3;182;232,9
Verdun;1033;3,5;1492,1;159;229,7
Ville-Marie;1076;3,7;1206,7;87;97,6
Villeray–Saint-Michel–Parc-Extension;2366;8,1;1644,7;132;91,8
Westmount;198;0,7;974,8;36;*177,2
Territoire à confirmer;653;;;44;
Total à Montréal;29841;;1444,6;3469;167,9
