,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,558,3,546,12,9,0,468,81,197074,283.14,41.10,4.57
02,02 - Saguenay–Lac-Saint-Jean,2124,94,2016,108,61,8,1196,867,277632,765.04,312.28,21.97
03,03 - Capitale-Nationale,9422,82,9184,238,344,0,8254,824,755459,1247.19,109.07,45.54
04,04 - Mauricie et Centre-du-Québec,5303,81,5113,190,234,1,4073,996,522341,1015.24,190.68,44.80
05,05 - Estrie,3142,54,2866,276,47,1,2618,477,493163,637.11,96.72,9.53
06,06 - Montréal,44716,285,41973,2743,3548,1,38646,2522,2065657,2164.73,122.09,171.76
07,07 - Outaouais,2802,32,2548,254,57,1,2431,314,401032,698.70,78.30,14.21
08,08 - Abitibi-Témiscamingue,252,0,220,32,4,0,244,4,147616,170.71,2.71,2.71
09,09 - Côte-Nord,173,0,161,12,2,0,168,3,90033,192.15,3.33,2.22
10,10 - Nord-du-Québec,24,1,22,2,0,0,9,15,13558,177.02,110.64,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1102,25,1087,15,29,0,891,182,89998,1224.47,202.23,32.22
12,12 - Chaudière-Appalaches,4127,69,3891,236,85,0,3472,570,430309,959.08,132.46,19.75
13,13 - Laval,9829,109,8676,1153,713,0,8616,500,442745,2220.01,112.93,161.04
14,14 - Lanaudière,8601,164,7908,693,246,3,7024,1331,520092,1653.75,255.92,47.30
15,15 - Laurentides,6866,114,6273,593,313,-1,6031,522,626968,1095.11,83.26,49.92
16,16 - Montérégie,16830,123,15717,1113,762,1,14486,1582,1432751,1174.66,110.42,53.18
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,72,1,70,2,0,0,69,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,115989,1237,108315,7674,6455,15,98740,10794,8539073,1358.33,126.41,75.59
