,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,613,4,601,12,13,0,526,74,197074,311.05,37.55,6.60
02,02 - Saguenay–Lac-Saint-Jean,3199,101,3075,124,81,2,1925,1193,277632,1152.24,429.71,29.18
03,03 - Capitale-Nationale,10161,49,9922,239,388,2,8811,962,755459,1345.01,127.34,51.36
04,04 - Mauricie et Centre-du-Québec,5933,37,5739,194,240,0,4831,862,522341,1135.85,165.03,45.95
05,05 - Estrie,3732,84,3440,292,52,0,3023,657,493163,756.75,133.22,10.54
06,06 - Montréal,47135,267,44382,2753,3577,7,40611,2947,2065657,2281.84,142.67,173.17
07,07 - Outaouais,3101,39,2839,262,65,0,2654,382,401032,773.26,95.25,16.21
08,08 - Abitibi-Témiscamingue,257,0,225,32,4,0,248,5,147616,174.10,3.39,2.71
09,09 - Côte-Nord,185,4,173,12,2,0,170,13,90033,205.48,14.44,2.22
10,10 - Nord-du-Québec,41,6,39,2,0,0,25,16,13558,302.40,118.01,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1249,14,1231,18,36,3,1020,193,89998,1387.81,214.45,40.00
12,12 - Chaudière-Appalaches,4645,44,4410,235,107,8,4020,518,430309,1079.46,120.38,24.87
13,13 - Laval,10428,46,9250,1178,718,0,9096,614,442745,2355.31,138.68,162.17
14,14 - Lanaudière,9787,132,9092,695,272,0,8057,1458,520092,1881.78,280.34,52.30
15,15 - Laurentides,7388,20,6794,594,324,1,6511,553,626968,1178.37,88.20,51.68
16,16 - Montérégie,18076,136,16921,1155,795,1,15679,1602,1432751,1261.63,111.81,55.49
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,-1,16,0,1,0,14,1,18385,87.03,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,76,0,74,2,0,0,73,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,126054,982,118253,7801,6675,24,107326,12053,8539073,1476.20,141.15,78.17
