Régions;Nombre de décès
01 - Bas-Saint-Laurent;7
02 - Saguenay – Lac-Saint-Jean;43
03 - Capitale-Nationale;318
04 - Mauricie-et-Centre-du-Québec;223
05 - Estrie;42
06 - Montréal;3 530
07 - Outaouais;45
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;27
12 - Chaudière-Appalaches;71
13 - Laval;711
14 - Lanaudière;232
15 - Laurentides;304
16 - Montérégie;712
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 272
