Régions;Nombre de décès
01 - Bas-Saint-Laurent;18
02 - Saguenay – Lac-Saint-Jean;122
03 - Capitale-Nationale;433
04 - Mauricie-et-Centre-du-Québec;266
05 - Estrie;62
06 - Montréal;3 618
07 - Outaouais;80
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;40
12 - Chaudière-Appalaches;130
13 - Laval;725
14 - Lanaudière;324
15 - Laurentides;336
16 - Montérégie;860
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;7 021
