Régions;Nombre de décès
01 - Bas-Saint-Laurent;15
02 - Saguenay – Lac-Saint-Jean;96
03 - Capitale-Nationale;413
04 - Mauricie-et-Centre-du-Québec;249
05 - Estrie;54
06 - Montréal;3 595
07 - Outaouais;71
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;37
12 - Chaudière-Appalaches;119
13 - Laval;721
14 - Lanaudière;303
15 - Laurentides;331
16 - Montérégie;831
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 842
