Régions;Nombre de décès
01 - Bas-Saint-Laurent;2
02 - Saguenay – Lac-Saint-Jean;26
03 - Capitale-Nationale;224
04 - Mauricie-et-Centre-du-Québec;211
05 - Estrie;32
06 - Montréal;3 482
07 - Outaouais;34
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;1
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;14
12 - Chaudière-Appalaches;22
13 - Laval;687
14 - Lanaudière;223
15 - Laurentides;281
16 - Montérégie;623
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;5 867
