Régions;Nombre de décès
01 - Bas-Saint-Laurent;7
02 - Saguenay – Lac-Saint-Jean;47
03 - Capitale-Nationale;332
04 - Mauricie-et-Centre-du-Québec;228
05 - Estrie;43
06 - Montréal;3 538
07 - Outaouais;48
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;28
12 - Chaudière-Appalaches;79
13 - Laval;711
14 - Lanaudière;234
15 - Laurentides;309
16 - Montérégie;739
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 350
