Régions;Nombre de décès
01 - Bas-Saint-Laurent;11
02 - Saguenay – Lac-Saint-Jean;71
03 - Capitale-Nationale;367
04 - Mauricie-et-Centre-du-Québec;237
05 - Estrie;51
06 - Montréal;3 562
07 - Outaouais;61
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;30
12 - Chaudière-Appalaches;93
13 - Laval;716
14 - Lanaudière;256
15 - Laurentides;318
16 - Montérégie;777
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 557
