Régions;Nombre de décès
01 - Bas-Saint-Laurent;14
02 - Saguenay – Lac-Saint-Jean;87
03 - Capitale-Nationale;400
04 - Mauricie-et-Centre-du-Québec;244
05 - Estrie;52
06 - Montréal;3 589
07 - Outaouais;70
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;37
12 - Chaudière-Appalaches;114
13 - Laval;719
14 - Lanaudière;293
15 - Laurentides;328
16 - Montérégie;820
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 774
