Régions;Nombre de décès
01 - Bas-Saint-Laurent;7
02 - Saguenay – Lac-Saint-Jean;26
03 - Capitale-Nationale;247
04 - Mauricie-et-Centre-du-Québec;214
05 - Estrie;34
06 - Montréal;3 497
07 - Outaouais;34
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;1
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;19
12 - Chaudière-Appalaches;39
13 - Laval;696
14 - Lanaudière;224
15 - Laurentides;285
16 - Montérégie;642
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;5 970
