Régions;Nombre de décès
01 - Bas-Saint-Laurent;16
02 - Saguenay – Lac-Saint-Jean;111
03 - Capitale-Nationale;421
04 - Mauricie-et-Centre-du-Québec;260
05 - Estrie;60
06 - Montréal;3 603
07 - Outaouais;78
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;40
12 - Chaudière-Appalaches;127
13 - Laval;725
14 - Lanaudière;314
15 - Laurentides;333
16 - Montérégie;852
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 947
