Régions;Nombre de décès
01 - Bas-Saint-Laurent;13
02 - Saguenay – Lac-Saint-Jean;75
03 - Capitale-Nationale;378
04 - Mauricie-et-Centre-du-Québec;238
05 - Estrie;52
06 - Montréal;3 568
07 - Outaouais;64
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;32
12 - Chaudière-Appalaches;96
13 - Laval;716
14 - Lanaudière;265
15 - Laurentides;320
16 - Montérégie;787
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 611
