Régions;Nombre de décès
01 - Bas-Saint-Laurent;7
02 - Saguenay – Lac-Saint-Jean;37
03 - Capitale-Nationale;290
04 - Mauricie-et-Centre-du-Québec;222
05 - Estrie;38
06 - Montréal;3 521
07 - Outaouais;41
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;1
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;24
12 - Chaudière-Appalaches;65
13 - Laval;709
14 - Lanaudière;230
15 - Laurentides;300
16 - Montérégie;699
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 189
