Régions;Nombre de décès
01 - Bas-Saint-Laurent;7
02 - Saguenay – Lac-Saint-Jean;40
03 - Capitale-Nationale;304
04 - Mauricie-et-Centre-du-Québec;222
05 - Estrie;40
06 - Montréal;3 527
07 - Outaouais;42
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;1
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;26
12 - Chaudière-Appalaches;71
13 - Laval;710
14 - Lanaudière;230
15 - Laurentides;302
16 - Montérégie;704
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 231
