Régions;Nombre de décès
01 - Bas-Saint-Laurent;20
02 - Saguenay – Lac-Saint-Jean;133
03 - Capitale-Nationale;455
04 - Mauricie-et-Centre-du-Québec;273
05 - Estrie;66
06 - Montréal;3 641
07 - Outaouais;81
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;40
12 - Chaudière-Appalaches;136
13 - Laval;726
14 - Lanaudière;332
15 - Laurentides;337
16 - Montérégie;878
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;7 125
