Régions;Nombre de décès
01 - Bas-Saint-Laurent;17
02 - Saguenay – Lac-Saint-Jean;116
03 - Capitale-Nationale;426
04 - Mauricie-et-Centre-du-Québec;263
05 - Estrie;60
06 - Montréal;3 610
07 - Outaouais;79
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;40
12 - Chaudière-Appalaches;130
13 - Laval;725
14 - Lanaudière;321
15 - Laurentides;334
16 - Montérégie;856
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 984
