Régions;Nombre de décès
01 - Bas-Saint-Laurent;8
02 - Saguenay – Lac-Saint-Jean;49
03 - Capitale-Nationale;337
04 - Mauricie-et-Centre-du-Québec;229
05 - Estrie;45
06 - Montréal;3 541
07 - Outaouais;51
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;28
12 - Chaudière-Appalaches;81
13 - Laval;711
14 - Lanaudière;237
15 - Laurentides;310
16 - Montérégie;744
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 378
