Régions;Nombre de décès
01 - Bas-Saint-Laurent;16
02 - Saguenay – Lac-Saint-Jean;105
03 - Capitale-Nationale;418
04 - Mauricie-et-Centre-du-Québec;259
05 - Estrie;57
06 - Montréal;3 600
07 - Outaouais;76
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;39
12 - Chaudière-Appalaches;125
13 - Laval;723
14 - Lanaudière;312
15 - Laurentides;331
16 - Montérégie;847
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 915
