Régions;Nombre de décès
01 - Bas-Saint-Laurent;16
02 - Saguenay – Lac-Saint-Jean;103
03 - Capitale-Nationale;416
04 - Mauricie-et-Centre-du-Québec;254
05 - Estrie;55
06 - Montréal;3 596
07 - Outaouais;76
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;38
12 - Chaudière-Appalaches;120
13 - Laval;723
14 - Lanaudière;308
15 - Laurentides;332
16 - Montérégie;843
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 887
