Régions;Nombre de décès
01 - Bas-Saint-Laurent;9
02 - Saguenay – Lac-Saint-Jean;53
03 - Capitale-Nationale;344
04 - Mauricie-et-Centre-du-Québec;233
05 - Estrie;46
06 - Montréal;3 547
07 - Outaouais;55
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;29
12 - Chaudière-Appalaches;83
13 - Laval;713
14 - Lanaudière;238
15 - Laurentides;314
16 - Montérégie;760
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 431
