Régions;Nombre de décès
01 - Bas-Saint-Laurent;7
02 - Saguenay – Lac-Saint-Jean;41
03 - Capitale-Nationale;307
04 - Mauricie-et-Centre-du-Québec;223
05 - Estrie;41
06 - Montréal;3 529
07 - Outaouais;43
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;26
12 - Chaudière-Appalaches;71
13 - Laval;711
14 - Lanaudière;230
15 - Laurentides;304
16 - Montérégie;706
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 246
