Régions;Nombre de décès
01 - Bas-Saint-Laurent;9
02 - Saguenay – Lac-Saint-Jean;50
03 - Capitale-Nationale;342
04 - Mauricie-et-Centre-du-Québec;229
05 - Estrie;47
06 - Montréal;3 544
07 - Outaouais;51
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;29
12 - Chaudière-Appalaches;81
13 - Laval;712
14 - Lanaudière;238
15 - Laurentides;311
16 - Montérégie;753
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 403
