Régions;Nombre de décès
01 - Bas-Saint-Laurent;11
02 - Saguenay – Lac-Saint-Jean;74
03 - Capitale-Nationale;372
04 - Mauricie-et-Centre-du-Québec;237
05 - Estrie;52
06 - Montréal;3 566
07 - Outaouais;63
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;30
12 - Chaudière-Appalaches;95
13 - Laval;716
14 - Lanaudière;260
15 - Laurentides;319
16 - Montérégie;784
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 586
