Régions;Nombre de décès
01 - Bas-Saint-Laurent;9
02 - Saguenay – Lac-Saint-Jean;65
03 - Capitale-Nationale;356
04 - Mauricie-et-Centre-du-Québec;234
05 - Estrie;47
06 - Montréal;3 553
07 - Outaouais;59
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;29
12 - Chaudière-Appalaches;86
13 - Laval;714
14 - Lanaudière;249
15 - Laurentides;314
16 - Montérégie;771
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 493
