Régions;Nombre de décès
01 - Bas-Saint-Laurent;13
02 - Saguenay – Lac-Saint-Jean;82
03 - Capitale-Nationale;393
04 - Mauricie-et-Centre-du-Québec;242
05 - Estrie;52
06 - Montréal;3 579
07 - Outaouais;67
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;37
12 - Chaudière-Appalaches;110
13 - Laval;718
14 - Lanaudière;277
15 - Laurentides;327
16 - Montérégie;806
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 710
