collected_date,reported_date,school_board,school,municipality,confirmed_student_cases,confirmed_staff_cases,confirmed_unspecified_cases,total_confirmed_cases
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique L'Étoile-de-l'Est,Ottawa,1,0,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Marius-Barbeau,Ottawa,3,1,0,4
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Mgr-Rémi-Gaulin,Ottawa,1,0,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Montfort,Ottawa,2,0,0,2
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Notre-Place,Ottawa,6,0,0,6
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Riverside Sud II (Jonathan-Pitre),Ottawa,1,0,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Geneviève,Ottawa,1,0,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Kateri,Ottawa,2,0,0,2
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Marie,Ottawa,2,1,0,3
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Saint-François-d’Assise,Ottawa,1,2,0,3
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Saint-Rémi,Ottawa,0,1,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École intermédiaire catholique Béatrice-Desloges,Ottawa,2,0,0,2
