collected_date,reported_date,school_board,school,municipality,confirmed_student_cases,confirmed_staff_cases,confirmed_unspecified_cases,total_confirmed_cases
2020-10-08,2020-10-09,Catholic District School Board of Eastern Ontario,Holy Cross Elementary School,North Grenville,3,0,0,3
2020-10-08,2020-10-09,Centre Jules-Léger Consortium,Centre Jules-Léger ÉA Difficulté,Ottawa,0,1,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),É Élém C Bernard-Grandmaître,Ottawa,1,0,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),É Élém C Sainte-Anne,Ottawa,1,0,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),É Élém C Saint-Joseph d'Orléans,Ottawa,2,0,0,2
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Alain-Fortin,Ottawa,1,0,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique d'enseignement personnalisé Lamoureux,Ottawa,0,1,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Elisabeth-Bruyère,Ottawa,0,2,0,2
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique George-Étienne-Cartier,Ottawa,0,1,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Horizon-Jeunesse,Ottawa,4,1,0,5
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Jean-Robert-Gauthier,Ottawa,0,1,0,1
2020-10-08,2020-10-09,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Laurier-Carrière,Ottawa,1,0,0,1
