Collected_Date,Report_Date,School_Board,School,Municipality,Confirmed_Student_Cases,Confirmed_Staff_Cases,Total_Confirmed_Cases
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Saint-François-d’Assise,Ottawa,1,0,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Anne,Ottawa,1,0,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Laurier-Carrière,Ottawa,1,0,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École intermédiaire catholique Franco-Ouest,Ottawa,1,0,1
2020-09-10,2020-09-11,Conseil des écoles publiques de l’Est de l’Ontario,École secondaire publique De La Salle,Ottawa,0,1,1
2020-09-10,2020-09-11,Conseil Scolaire Viamonde,École Ronald-Marion,Pickering,0,1,1
2020-09-10,2020-09-11,Halton Catholic District School Board,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,1
2020-09-10,2020-09-11,Halton District School Board,Oodeenawi Public School,Oakville,0,1,1
2020-09-10,2020-09-11,Peel District School Board,North Field Office,Brampton,0,1,1
2020-09-10,2020-09-11,Peel District School Board,Ross Drive Public School,Brampton,0,1,1
2020-09-10,2020-09-11,Peel District School Board,Briarwood Public School,Mississauga,0,1,1
2020-09-10,2020-09-11,Waterloo Region District School Board,Edna Staebler Public School,Waterloo,0,1,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Saint-François-d’Assise,Ottawa,1,0,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Anne,Ottawa,1,0,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Laurier-Carrière,Ottawa,1,0,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École intermédiaire catholique Franco-Ouest,Ottawa,1,0,1
2020-09-11,2020-09-14,Conseil des écoles publiques de l’Est de l’Ontario,École secondaire publique De La Salle,Ottawa,0,1,1
2020-09-11,2020-09-14,Conseil Scolaire Viamonde,École Ronald-Marion,Pickering,0,1,1
2020-09-11,2020-09-14,Halton Catholic District School Board,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,1
2020-09-11,2020-09-14,Halton District School Board,Oodeenawi Public School,Oakville,0,1,1
2020-09-11,2020-09-14,Peel District School Board,North Field Office,Brampton,0,1,1
2020-09-11,2020-09-14,Peel District School Board,Ross Drive Public School,Brampton,0,1,1
2020-09-11,2020-09-14,Peel District School Board,Briarwood Public School,Mississauga,0,1,1
2020-09-11,2020-09-14,Peel District School Board,John Fraser Secondary School,Mississauga,1,0,1
2020-09-11,2020-09-14,Renfrew County District School Board,Fellowes High School,Pembroke,0,1,1
2020-09-11,2020-09-14,Waterloo Region District School Board,Edna Staebler Public School,Waterloo,0,1,1
