statementEN,statementFR
This page will be updated once per day in the evening at 7:00PM Eastern Time.,"Cette page sera mise à jour une fois par jour le soir à 19h00, heure de l'Est."
The majority of cases (81.2%) and deaths (93.9%) have been reported by Ontario and Quebec.,"La majorité des cas (81,2%) et des décès (93,9%) est survenue au Québec et en Ontario"
"Of the jurisdictions reporting updates (n=13), no new cases have been reported in 7 provinces or territories within the past 24 hours.","Parmi les provinces ou territoires signalant des mises à jour (n=13), 7 n'ont rapporté aucun nouveau cas au cours des dernières 24 heures."
"Of the jurisdictions reporting updates (n=13), no new deaths have been reported in 9 provinces or territories within the past 24 hours","Parmi les provinces ou territoires signalant des mises à jour (n=13), 9 n’ont rapporté aucun nouveau décès au cours des dernières 24 heures."
