Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,138061,TRUE,0
Spread,,95.2,131388,TRUE,0
Domestic acquisition: Contact with COVID case,,59.9,82655,TRUE,1
Domestic acquisition: Contact with traveller,,1.0,1442,TRUE,1
Domestic acquisition: Unknown source,,34.3,47291,TRUE,1
International travel,,3.8,5269,FALSE,1
Information pending,,1.0,1404,FALSE,1
