Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,134201,TRUE,0
Spread,,95.1,127687,TRUE,0
Domestic acquisition: Contact with COVID case,,60.3,80900,TRUE,1
Domestic acquisition: Contact with traveller,,1.0,1354,TRUE,1
Domestic acquisition: Unknown source,,33.9,45433,TRUE,1
International travel,,3.9,5252,FALSE,1
Information pending,,0.9,1262,FALSE,1
