Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,132107,TRUE,0
Spread,,95.3,125853,TRUE,0
Domestic acquisition: Contact with COVID case,,60.2,79528,TRUE,1
Domestic acquisition: Contact with traveller,,1.0,1354,TRUE,1
Domestic acquisition: Unknown source,,34.0,44971,TRUE,1
International travel,,3.9,5198,FALSE,1
Information pending,,0.8,1056,FALSE,1
