Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,192108,TRUE,0
Spread,,91.0,174908,TRUE,0
Domestic acquisition: Contact with COVID case,,57.4,110316,TRUE,1
Domestic acquisition: Contact with traveller,,1.1,2206,TRUE,1
Domestic acquisition: Unknown source,,32.5,62386,TRUE,1
International travel,,2.9,5519,FALSE,1
Information pending,,6.1,11681,FALSE,1
