Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,129372,TRUE,0
Spread,,95.2,123167,TRUE,0
Domestic acquisition: Contact with COVID case,,60.4,78125,TRUE,1
Domestic acquisition: Contact with traveller,,1.0,1271,TRUE,1
Domestic acquisition: Unknown source,,33.8,43771,TRUE,1
International travel,,4.0,5170,FALSE,1
Information pending,,0.8,1035,FALSE,1
