Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,131179,TRUE,0
Spread,,95.2,124922,TRUE,0
Domestic acquisition: Contact with COVID case,,60.3,79036,TRUE,1
Domestic acquisition: Contact with traveller,,1.0,1355,TRUE,1
Domestic acquisition: Unknown source,,33.9,44531,TRUE,1
International travel,,4.0,5197,FALSE,1
Information pending,,0.8,1060,FALSE,1
