Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,129675,TRUE,0
Spread,,95.2,123464,TRUE,0
Domestic acquisition: Contact with COVID case,,60.4,78277,TRUE,1
Domestic acquisition: Contact with traveller,,1.0,1271,TRUE,1
Domestic acquisition: Unknown source,,33.9,43916,TRUE,1
International travel,,4.0,5172,FALSE,1
Information pending,,0.8,1039,FALSE,1
