Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,145755,TRUE,0
Spread,,93.9,136864,TRUE,0
Domestic acquisition: Contact with COVID case,,59.2,86303,TRUE,1
Domestic acquisition: Contact with traveller,,1.0,1516,TRUE,1
Domestic acquisition: Unknown source,,33.6,49045,TRUE,1
International travel,,3.6,5305,FALSE,1
Information pending,,2.5,3586,FALSE,1
