Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,136150,TRUE,0
Spread,,95.2,129638,TRUE,0
Domestic acquisition: Contact with COVID case,,60.2,81898,TRUE,1
Domestic acquisition: Contact with traveller,,1.1,1442,TRUE,1
Domestic acquisition: Unknown source,,34.0,46298,TRUE,1
International travel,,3.9,5270,FALSE,1
Information pending,,0.9,1242,FALSE,1
