Probable exposure setting,Contexte d'exposition probable,Proportion of cases,Number of cases,domestic,graph
Cases with probable exposure data,,,140653,TRUE,0
Spread,,94.9,133513,TRUE,0
Domestic acquisition: Contact with COVID case,,59.7,83949,TRUE,1
Domestic acquisition: Contact with traveller,,1.1,1515,TRUE,1
Domestic acquisition: Unknown source,,34.2,48049,TRUE,1
International travel,,3.8,5289,FALSE,1
Information pending,,1.3,1851,FALSE,1
