Week,"Weekly Rate for 0 to 19 Years (per 100,000 pop) by Episode Date","Weekly Rate for 20 to 39 Years (per 100,000 pop) by Episode Date","Weekly Rate for 40 to 59 Years (per 100,000 pop) by Episode Date","Weekly Rate for 60 to 79 Years (per 100,000 pop) by Episode Date","Weekly Rate for 80+ Years (per 100,00 pop) by Episode Date",Weekly Total of Cases by Episode Date,Weekly Total of Cases by Reported Date,Weekly Rate for Cases by Reported Date,Count for 0-19 Years by Episode Date,Count for 20-39 Years by Episode Date,Count for 40-59 Years by Episode Date,Count for 60-79 Years by Episode Date,Count for 80+ Years by Episode Date
2020-02-16 00:00:00,,,1.4,,,2,,,0,0,2,0,0
2020-02-23 00:00:00,,0.6,,0.8,,2,,,0,1,0,1,0
2020-03-01 00:00:00,,4.4,7.3,4.7,,22,,,0,7,10,5,0
2020-03-08 00:00:00,0.9,14.4,29.4,18.8,14.9,88,9,0.9,1,23,40,19,5
2020-03-15 00:00:00,1.8,30.1,42.2,33.6,32.2,148,20,1.9,2,48,58,32,8
2020-03-22 00:00:00,4.4,25.0,37.1,36.1,54.8,141,104,9.9,5,40,51,35,10
2020-03-29 00:00:00,5.4,31.9,32.0,36.3,75.0,149,220,20.9,6,51,44,34,14
2020-04-05 00:00:00,13.4,24.4,43.0,37.0,310.8,203,224,21.2,15,39,59,36,54
2020-04-12 00:00:00,8.9,34.3,40.7,59.3,519.1,261,268,25.4,10,55,56,58,82
2020-04-19 00:00:00,4.4,34.6,56.8,88.8,898.6,342,281,26.6,5,55,78,84,120
2020-04-26 00:00:00,12.5,31.9,40.0,40.5,454.7,225,363,34.4,14,51,55,39,66
2020-05-03 00:00:00,6.3,12.5,23.3,29.2,298.2,131,150,14.2,7,20,32,25,47
2020-05-10 00:00:00,8.0,24.9,21.1,22.9,172.0,126,134,12.7,9,40,29,21,27
2020-05-17 00:00:00,3.6,22.5,10.3,12.5,69.1,78,105,10.0,4,36,14,12,12
2020-05-24 00:00:00,4.5,11.2,8.0,10.0,26.2,49,64,6.1,5,18,11,9,6
2020-05-31 00:00:00,4.4,8.2,5.8,1.7,83.3,42,56,5.3,5,13,8,2,14
2020-06-07 00:00:00,1.8,10.6,10.2,3.8,11.3,38,35,3.3,2,17,14,4,1
2020-06-14 00:00:00,2.7,8.7,4.4,3.0,,26,22,2.1,3,14,6,3,0
2020-06-21 00:00:00,5.3,10.6,5.1,1.3,3.0,32,29,2.7,6,17,7,1,1
2020-06-28 00:00:00,4.4,8.1,5.1,0.8,14.3,28,29,2.7,5,13,7,1,2
2020-07-05 00:00:00,9.8,16.3,12.3,5.2,,59,40,3.8,11,26,17,5,0
2020-07-12 00:00:00,30.3,45.4,33.5,9.0,6.0,164,73,6.9,34,73,46,9,2
2020-07-19 00:00:00,42.9,39.3,24.1,7.6,,153,201,19.1,48,63,33,9,0
2020-07-26 00:00:00,24.1,30.6,9.4,12.4,20.2,106,128,12.1,27,49,13,13,4
2020-08-02 00:00:00,22.4,15.0,8.7,5.2,,66,78,7.4,25,24,12,5,0
2020-08-09 00:00:00,19.7,19.3,11.6,4.3,,73,65,6.2,22,31,16,4,0
2020-08-16 00:00:00,31.2,33.7,22.4,9.7,25.6,134,128,12.1,35,54,31,11,3
2020-08-23 00:00:00,27.6,29.9,24.2,16.0,22.6,129,118,11.2,31,48,33,15,2
2020-08-30 00:00:00,30.4,39.3,22.8,26.8,84.0,170,125,11.9,34,63,31,25,17
2020-09-06 00:00:00,53.5,86.0,45.3,42.0,72.0,315,234,22.2,60,138,62,42,13
2020-09-13 00:00:00,107.4,122.7,68.8,37.9,78.0,462,324,30.7,120,197,94,36,15
2020-09-20 00:00:00,130.6,183.2,109.5,53.7,132.8,668,453,43.0,146,294,150,53,25
2020-09-27 00:00:00,110.7,170.2,120.4,71.6,171.4,658,647,61.3,124,273,165,72,24
2020-10-04 00:00:00,117.7,112.3,99.5,52.6,272.6,546,722,68.5,132,180,136,54,44
2020-10-11 00:00:00,103.2,93.0,103.4,62.1,109.6,486,613,58.1,116,149,142,59,20
2020-10-18 00:00:00,94.6,81.3,91.1,69.2,461.3,500,503,47.7,106,130,125,68,71
2020-10-25 00:00:00,86.5,86.2,69.8,71.3,583.9,484,571,54.1,97,138,96,66,87
2020-11-01 00:00:00,84.7,69.4,72.2,39.5,224.4,383,394,37.4,95,111,99,39,39
2020-11-08 00:00:00,61.7,59.2,42.3,22.0,226.2,277,405,38.4,69,95,58,21,34
2020-11-15 00:00:00,0.9,,,,,1,33,3.1,1,0,0,0,0
