"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Enhanced","Enhanced measures in place","181.9","24","13196"
"2","Beaver County","Enhanced","Enhanced measures in place","117.8","12","10191"
"3","Big Lakes County","Open","Help prevent the spread","57.2","7","12234"
"4","Birch Hills County","Open","Help prevent the spread","67.6","1","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","338.5","57","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","371.6","246","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","304.5","136","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","292.7","191","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","388","281","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","337.9","138","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","232.4","261","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","466.2","449","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","169.4","106","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","299.6","343","114470"
"15","Calgary - Nosehill","Enhanced","Enhanced measures in place","232.3","180","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","241.4","316","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","225.8","259","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","1038.5","1194","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","205.1","250","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","244.3","224","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","285.2","60","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","278.1","24","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","170.1","28","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","437.1","306","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","489.6","91","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","228","44","19297"
"27","City Of Calgary","Enhanced","Enhanced measures in place","343.7","4632","1347732"
"28","City Of Camrose","Enhanced","Enhanced measures in place","320.3","69","21543"
"29","City Of Chestermere","Enhanced","Enhanced measures in place","291.8","61","20905"
"30","City Of Cold Lake","Enhanced","Enhanced measures in place","318.8","63","19763"
"31","City Of Edmonton","Enhanced","Enhanced measures in place","558.9","5710","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Enhanced measures in place","265.5","71","26738"
"33","City Of Grande Prairie","Enhanced","Enhanced measures in place","92.3","68","73697"
"34","City Of Lacombe","Enhanced","Enhanced measures in place","150.2","28","18640"
"35","City Of Leduc","Enhanced","Enhanced measures in place","402.8","133","33017"
"36","City Of Lethbridge","Enhanced","Enhanced measures in place","194","192","98987"
"37","City Of Lloydminster","Open","Help prevent the spread","18","4","22277"
"38","City Of Medicine Hat","Enhanced","Enhanced measures in place","157.2","107","68057"
"39","City Of Red Deer","Enhanced","Enhanced measures in place","180.3","191","105939"
"40","City Of Spruce Grove","Enhanced","Enhanced measures in place","358.7","133","37076"
"41","City Of St. Albert","Enhanced","Enhanced measures in place","409.1","282","68923"
"42","City Of Wetaskiwin","Enhanced","Enhanced measures in place","506","85","16799"
"43","Clear Hills County","Open","Help prevent the spread","0","0","2998"
"44","Clearwater County","Enhanced","Enhanced measures in place","152.7","31","20304"
"45","County Of Barrhead No. 11","Open","Help prevent the spread","59.3","6","10116"
"46","County Of Forty Mile No. 8","Enhanced","Enhanced measures in place","341.4","22","6443"
"47","County Of Grande Prairie No. 1","Enhanced","Enhanced measures in place","89.4","28","31319"
"48","County Of Minburn No. 27","Open","Help prevent the spread","57.8","6","10380"
"49","County Of Newell","Enhanced","Enhanced measures in place","185.3","15","8093"
"50","County Of Northern Lights","Open","Help prevent the spread","135.1","5","3702"
"51","County Of Paintearth No. 18","Open","Help prevent the spread","25.3","1","3947"
"52","County Of St. Paul No. 19","Enhanced","Enhanced measures in place","327.4","54","16493"
"53","County Of Stettler No. 6","Open","Help prevent the spread","48.2","6","12449"
"54","County Of Two Hills No. 21","Open","Help prevent the spread","160.8","9","5596"
"55","County Of Vermilion River","Open","Help prevent the spread","69.7","9","12907"
"56","County Of Warner No. 5","Enhanced","Enhanced measures in place","245.6","27","10994"
"57","County Of Wetaskiwin No. 10","Enhanced","Enhanced measures in place","137.5","14","10181"
"58","Cypress County","Enhanced","Enhanced measures in place","213.9","24","11218"
"59","Edmonton - Abbottsfield","Enhanced","Enhanced measures in place","577.7","84","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Enhanced measures in place","353.1","341","96574"
"61","Edmonton - Castle Downs","Enhanced","Enhanced measures in place","813.9","574","70526"
"62","Edmonton - Duggan","Enhanced","Enhanced measures in place","336.4","136","40428"
"63","Edmonton - Eastwood","Enhanced","Enhanced measures in place","657","477","72600"
"64","Edmonton - Jasper Place","Enhanced","Enhanced measures in place","599.1","282","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Enhanced measures in place","689.3","572","82983"
"66","Edmonton - Mill Woods West","Enhanced","Enhanced measures in place","553.6","283","51122"
"67","Edmonton - Ne","Enhanced","Enhanced measures in place","615.3","547","88901"
"68","Edmonton - Northgate","Enhanced","Enhanced measures in place","756","623","82404"
"69","Edmonton - Rutherford","Enhanced","Enhanced measures in place","567.4","591","104153"
"70","Edmonton - Twin Brooks","Enhanced","Enhanced measures in place","356.7","270","75685"
"71","Edmonton - West Jasper Place","Enhanced","Enhanced measures in place","424.6","429","101046"
"72","Edmonton - Woodcroft East","Enhanced","Enhanced measures in place","546.5","330","60381"
"73","Edmonton - Woodcroft West","Enhanced","Enhanced measures in place","523.4","170","32479"
"74","Flagstaff County","Enhanced","Enhanced measures in place","373.8","32","8560"
"75","Foothills County","Enhanced","Enhanced measures in place","242.3","54","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Help prevent the spread","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Help prevent the spread","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Help prevent the spread","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Help prevent the spread","0","0","0"
"80","I.d. No. 349","Open","Help prevent the spread","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Help prevent the spread","0","0","166"
"82","I.d. No. 9 (Banff)","Enhanced","Enhanced measures in place","1386.4","192","13849"
"83","Kananaskis Improvement District","Open","Help prevent the spread","0","0","1"
"84","Kneehill County","Enhanced","Enhanced measures in place","146.7","16","10909"
"85","Lac La Biche County","Enhanced","Enhanced measures in place","463","47","10150"
"86","Lac Ste. Anne County","Enhanced","Enhanced measures in place","217.7","36","16534"
"87","Lacombe County","Enhanced","Enhanced measures in place","192.8","42","21779"
"88","Lamont County","Open","Help prevent the spread","88.8","7","7881"
"89","Leduc County","Enhanced","Enhanced measures in place","279.7","67","23958"
"90","Lethbridge County","Enhanced","Enhanced measures in place","269.5","68","25228"
"91","Mackenzie County","Open","Help prevent the spread","24.8","6","24171"
"92","Mountain View County","Enhanced","Enhanced measures in place","65.5","15","22893"
"93","Municipal District Of Acadia No. 34","Open","Help prevent the spread","1629.7","6","368"
"94","Municipal District Of Bighorn No. 8","Enhanced","Enhanced measures in place","199.8","10","5004"
"95","Municipal District Of Bonnyville No. 87","Enhanced","Enhanced measures in place","173.9","31","17826"
