Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,10731,5248,5445,2,8.6%,8.0%,9.4%,13.3%,123932,124307
20-29,19643,9304,10277,2,15.8%,15.1%,16.7%,13.3%,,
30-39,18208,8689,9469,4,14.6%,13.9%,15.6%,26.7%,,
40-49,18504,8372,10081,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18208,8267,9910,2,14.6%,14.6%,14.8%,13.3%,,
60-69,11757,5954,5777,1,9.5%,8.5%,10.7%,6.7%,,
70-79,8512,4211,4275,1,6.8%,6.3%,7.5%,6.7%,,
80+,18744,5830,12808,,15.1%,18.8%,10.4%,0.0%,,
