Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,10611,5186,5387,2,8.6%,8.0%,9.3%,13.3%,123289,123660
20-29,19476,9230,10185,2,15.7%,15.0%,16.6%,13.3%,,
30-39,18094,8632,9413,4,14.6%,13.9%,15.5%,26.7%,,
40-49,18425,8327,10047,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18118,8222,9865,2,14.7%,14.6%,14.8%,13.3%,,
60-69,11725,5939,5761,1,9.5%,8.5%,10.7%,6.7%,,
70-79,8486,4197,4264,1,6.9%,6.3%,7.6%,6.7%,,
80+,18725,5821,12798,,15.1%,18.9%,10.5%,0.0%,,
