Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,11242,5505,5699,2,8.9%,8.2%,9.6%,13.3%,126563,126942
20-29,20235,9610,10561,2,15.9%,15.2%,16.8%,13.3%,,
30-39,18734,8957,9726,4,14.8%,14.0%,15.7%,26.7%,,
40-49,18906,8556,10298,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18467,8378,10058,2,14.5%,14.5%,14.7%,13.3%,,
60-69,11957,6050,5881,1,9.4%,8.5%,10.6%,6.7%,,
70-79,8605,4253,4326,1,6.8%,6.2%,7.4%,6.7%,,
80+,18796,5853,12837,,14.8%,18.5%,10.2%,0.0%,,
