Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,10591,5176,5377,2,8.6%,7.9%,9.3%,13.3%,123172,123544
20-29,19439,9211,10167,2,15.7%,15.0%,16.6%,13.3%,,
30-39,18076,8622,9404,4,14.6%,13.9%,15.5%,26.7%,,
40-49,18417,8325,10041,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18109,8217,9860,2,14.7%,14.6%,14.8%,13.3%,,
60-69,11713,5933,5755,1,9.5%,8.5%,10.7%,6.7%,,
70-79,8481,4196,4260,1,6.9%,6.3%,7.6%,6.7%,,
80+,18718,5818,12795,,15.2%,18.9%,10.5%,0.0%,,
