Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,19405,8829,8981,2,11.3%,10.2%,11.7%,14.3%,163473,171627
20-29,31476,14514,15280,3,18.3%,17.4%,19.2%,21.4%,,
30-39,26177,12177,12722,2,15.3%,14.5%,16.1%,14.3%,,
40-49,25016,11003,12863,3,14.6%,14.6%,14.5%,21.4%,,
50-59,23555,10432,12140,2,13.7%,13.8%,13.8%,14.3%,,
60-69,15086,7371,7087,1,8.8%,8.1%,9.7%,7.1%,,
70-79,10309,4921,5026,1,6.0%,5.7%,6.5%,7.1%,,
80+,20603,6393,13720,0,12.0%,15.6%,8.5%,0.0%,,
