Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,10846,5306,5502,2,8.7%,8.0%,9.4%,13.3%,124670,125048
20-29,19822,9390,10369,2,15.9%,15.2%,16.7%,13.3%,,
30-39,18363,8764,9549,4,14.7%,14.0%,15.6%,26.7%,,
40-49,18608,8418,10138,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18303,8304,9968,2,14.6%,14.6%,14.8%,13.3%,,
60-69,11810,5979,5805,1,9.4%,8.5%,10.6%,6.7%,,
70-79,8537,4222,4288,1,6.8%,6.3%,7.5%,6.7%,,
80+,18759,5839,12814,,15.0%,18.7%,10.4%,0.0%,,
