Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,10801,5281,5482,2,8.7%,8.0%,9.4%,13.3%,124399,124776
20-29,19750,9354,10333,2,15.8%,15.1%,16.7%,13.3%,,
30-39,18303,8733,9520,4,14.7%,13.9%,15.6%,26.7%,,
40-49,18566,8402,10113,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18273,8295,9947,2,14.6%,14.6%,14.8%,13.3%,,
60-69,11794,5967,5801,1,9.5%,8.5%,10.6%,6.7%,,
70-79,8530,4221,4282,1,6.8%,6.3%,7.5%,6.7%,,
80+,18759,5838,12815,,15.0%,18.8%,10.4%,0.0%,,
