Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,10514,5134,5343,2,8.5%,7.9%,9.3%,13.3%,122701,123072
20-29,19300,9134,10103,2,15.7%,15.0%,16.5%,13.3%,,
30-39,17997,8578,9370,4,14.6%,13.9%,15.5%,26.7%,,
40-49,18350,8291,10008,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18060,8199,9830,2,14.7%,14.6%,14.8%,13.3%,,
60-69,11678,5916,5737,1,9.5%,8.5%,10.7%,6.7%,,
70-79,8464,4189,4250,1,6.9%,6.3%,7.6%,6.7%,,
80+,18709,5816,12788,,15.2%,19.0%,10.5%,0.0%,,
