Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,10546,5154,5355,2,8.6%,7.9%,9.3%,13.3%,122912,123283
20-29,19367,9165,10140,2,15.7%,15.0%,16.6%,13.3%,,
30-39,18033,8601,9383,4,14.6%,13.9%,15.5%,26.7%,,
40-49,18377,8303,10023,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18086,8209,9845,2,14.7%,14.6%,14.8%,13.3%,,
60-69,11694,5926,5743,1,9.5%,8.5%,10.7%,6.7%,,
70-79,8471,4189,4257,1,6.9%,6.3%,7.6%,6.7%,,
80+,18709,5815,12789,,15.2%,18.9%,10.5%,0.0%,,
