Age group (years),Number of cases with case reports,Males,Females,Other,Proportion of cases,Proportion female cases,Proportion male cases,Proportion other cases,n,n_Ageonly
≤19,10761,5262,5461,2,8.6%,8.0%,9.4%,13.3%,124145,124519
20-29,19691,9323,10307,2,15.8%,15.1%,16.7%,13.3%,,
30-39,18261,8716,9495,4,14.7%,13.9%,15.6%,26.7%,,
40-49,18533,8383,10099,3,14.9%,14.8%,15.0%,20.0%,,
50-59,18235,8276,9928,2,14.6%,14.6%,14.8%,13.3%,,
60-69,11771,5959,5786,1,9.5%,8.5%,10.6%,6.7%,,
70-79,8520,4215,4279,1,6.8%,6.3%,7.5%,6.7%,,
80+,18747,5831,12810,,15.1%,18.8%,10.4%,0.0%,,
