Date,Region,"New Cases","Total Cases","Confirmed Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths,"Age 19 and Under","Age 20 to 39","Ages 40 to 59","Age 60 to 79","Age 80+"
2020/03/26,North,0,3,3,,0,0,,0,,,,,
2020/03/26,"Central (excluding Saskatoon)",5,13,13,,0,0,,0,,,,,
2020/03/26,Saskatoon,3,44,44,,2,1,,0,,,,,
2020/03/26,"South (excluding Regina)",0,7,7,,0,0,,0,,,,,
2020/03/26,Regina,1,28,28,,3,1,,0,,,,,
2020/03/26,Total,9,95,95,,5,2,,0,,,,,
2020/03/27,"Far North",,3,3,,0,0,0,0,,,,,
2020/03/27,North,,13,13,,1,0,0,0,,,,,
2020/03/27,"Central (excluding Saskatoon)",,8,8,,0,0,1,0,,,,,
2020/03/27,Saskatoon,,48,48,,1,1,1,0,,,,,
2020/03/27,"South (excluding Regina)",,4,4,,0,0,1,0,,,,,
2020/03/27,Regina,,28,28,,2,1,0,0,,,,,
2020/03/27,Total,,104,104,,4,2,3,0,,,,,
2020/03/28,"Far North",0,3,3,,0,0,1,0,,,,,
2020/03/28,North,13,26,26,,1,0,1,0,,,,,
2020/03/28,"Central (excluding Saskatoon)",3,11,11,,0,1,0,0,,,,,
2020/03/28,Saskatoon,10,58,58,,1,1,1,0,,,,,
2020/03/28,"South (excluding Regina)",0,4,4,,0,0,1,0,,,,,
2020/03/28,Regina,4,32,32,,1,1,0,0,,,,,
2020/03/28,Total,30,134,134,,3,3,4,0,,,,,
2020/03/29,"Far North",0,3,3,,0,0,1,0,,,,,
2020/03/29,North,7,33,33,,1,0,4,0,,,,,
2020/03/29,"Central (excluding Saskatoon)",-1,10,10,,0,1,0,0,,,,,
2020/03/29,Saskatoon,14,72,72,,2,0,2,0,,,,,
2020/03/29,"South (excluding Regina)",0,4,4,,0,0,1,0,,,,,
2020/03/29,Regina,2,34,34,,0,1,0,0,,,,,
2020/03/29,Total,22,156,156,,3,2,8,0,,,,,
2020/03/30,"Far North",0,3,3,,0,0,1,0,,,,,
2020/03/30,North,4,37,37,,1,0,4,0,,,,,
2020/03/30,"Central (excluding Saskatoon)",0,10,10,,0,0,0,0,,,,,
2020/03/30,Saskatoon,12,84,84,,3,0,2,0,,,,,
2020/03/30,"South (excluding Regina)",2,6,6,,0,0,1,0,,,,,
2020/03/30,Regina,2,36,36,,0,1,6,0,,,,,
2020/03/30,Total,20,176,176,,4,1,14,0,,,,,
2020/03/31,"Far North",0,3,3,,0,0,2,,,,,,
2020/03/31,North,0,37,37,,0,0,9,,,,,,
2020/03/31,"Central (excluding Saskatoon)",-1,9,9,,0,0,0,,,,,,
2020/03/31,Saskatoon,6,90,90,,3,0,3,,,,,,
2020/03/31,"South (excluding Regina)",0,6,6,,0,0,1,,,,,,
2020/03/31,Regina,3,39,39,,0,1,6,,,,,,
2020/03/31,Total,8,184,184,,3,1,21,2,,,,,
2020/04/01,"Far North",0,3,3,1,0,0,2,,,,,,
2020/04/01,North,0,37,37,24,0,0,12,,,,,,
2020/04/01,"Central (excluding Saskatoon)",0,9,9,8,0,0,0,,,,,,
2020/04/01,Saskatoon,4,94,94,88,3,0,5,,,,,,
2020/04/01,"South (excluding Regina)",1,7,7,6,0,0,1,,,,,,
2020/04/01,Regina,4,43,43,33,0,1,10,,,,,,
2020/04/01,Total,9,193,193,160,3,1,30,3,,,,,
2020/04/02,"Far North",0,3,3,1,0,0,2,,,,,,
2020/04/02,North,1,38,38,24,0,0,13,,,,,,
2020/04/02,"Central (excluding Saskatoon)",0,9,9,7,0,0,1,,,,,,
2020/04/02,Saskatoon,9,103,103,94,2,1,8,,,,,,
2020/04/02,"South (excluding Regina)",2,9,9,8,0,0,1,,,,,,
2020/04/02,Regina,1,44,44,33,0,1,11,,,,,,
2020/04/02,Total,13,206,206,167,2,2,36,3,,,,,
2020/04/03,"Far North",0,3,3,1,0,0,2,,,,,,
2020/04/03,North,4,42,42,27,0,0,14,,,,,,
2020/04/03,"Central (excluding Saskatoon)",0,9,9,7,0,0,1,,,,,,
2020/04/03,Saskatoon,8,111,111,92,2,0,18,,,,,,
2020/04/03,"South (excluding Regina)",1,10,10,8,0,0,2,,,,,,
2020/04/03,Regina,1,45,45,34,0,1,11,,,,,,
2020/04/03,Total,14,220,220,169,2,1,48,3,,,,,
2020/04/04,"Far North",0,3,3,1,0,0,2,0,,,,,
2020/04/04,North,1,43,43,28,0,0,14,1,,,,,
2020/04/04,"Central (excluding Saskatoon)",1,10,10,8,0,0,1,1,,,,,
2020/04/04,Saskatoon,1,112,112,87,3,0,24,1,,,,,
2020/04/04,"South (excluding Regina)",3,13,13,11,0,0,2,0,,,,,
2020/04/04,Regina,5,50,50,38,0,1,12,0,,,,,
2020/04/04,Total,11,231,231,173,3,1,55,3,,,,,
2020/04/05,"Far North",0,3,3,1,0,0,2,0,,,,,
2020/04/05,North,4,47,47,25,0,0,21,1,,,,,
2020/04/05,"Central (excluding Saskatoon)",0,10,10,8,0,0,1,1,,,,,
2020/04/05,Saskatoon,11,123,123,94,2,1,28,1,,,,,
2020/04/05,"South (excluding Regina)",2,15,15,13,0,0,2,0,,,,,
2020/04/05,Regina,1,51,51,38,0,1,13,0,,,,,
2020/04/05,Total,18,249,249,179,2,2,67,3,,,,,
2020/04/06,"Far North",0,3,3,1,0,0,2,0,,,,,
2020/04/06,North,0,47,47,22,0,0,24,1,,,,,
2020/04/06,"Central (excluding Saskatoon)",0,10,10,8,0,0,1,1,,,,,
2020/04/06,Saskatoon,4,127,127,97,2,1,29,1,,,,,
2020/04/06,"South (excluding Regina)",0,15,15,13,0,0,2,0,,,,,
2020/04/06,Regina,0,51,51,28,0,1,23,0,,,,,
2020/04/06,Total,4,253,253,169,2,2,81,3,,,,,
2020/04/07,"Far North",1,4,4,2,0,0,2,0,,,,,
2020/04/07,North,1,48,48,22,0,0,25,1,,,,,
2020/04/07,"Central (excluding Saskatoon)",0,10,10,8,0,0,1,1,,,,,
2020/04/07,Saskatoon,4,131,131,100,4,1,30,1,,,,,
2020/04/07,"South (excluding Regina)",0,15,15,11,0,0,4,0,,,,,
2020/04/07,Regina,1,52,52,26,1,1,26,0,,,,,
2020/04/07,Total,7,260,260,169,5,2,88,3,,,,,
2020/04/08,"Far North",0,4,4,2,0,0,2,0,,,,,
2020/04/08,North,3,51,51,22,1,0,28,1,,,,,
2020/04/08,"Central (excluding Saskatoon)",0,10,10,5,0,0,4,1,,,,,
2020/04/08,Saskatoon,4,135,135,97,4,1,37,1,,,,,
2020/04/08,"South (excluding Regina)",0,15,15,11,0,0,4,0,,,,,
2020/04/08,Regina,4,56,56,28,1,1,28,0,,,,,
2020/04/08,Total,11,271,271,165,6,2,103,3,,,,,
2020/04/09,"Far North",1,5,5,3,0,0,2,0,,,,,
2020/04/09,North,1,52,52,22,0,0,29,1,,,,,
2020/04/09,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1,,,,,
2020/04/09,Saskatoon,3,138,138,95,4,1,42,1,,,,,
2020/04/09,"South (excluding Regina)",0,15,15,11,0,0,4,0,,,,,
2020/04/09,Regina,2,58,58,26,2,1,32,0,,,,,
2020/04/09,Total,7,278,278,160,6,2,115,3,,,,,
2020/04/10,"Far North",1,6,6,4,0,0,2,0,,,,,
2020/04/10,North,0,52,52,20,0,0,31,1,,,,,
2020/04/10,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1,,,,,
2020/04/10,Saskatoon,4,142,141,86,4,1,55,1,,,,,
2020/04/10,"South (excluding Regina)",0,15,15,9,0,0,6,0,,,,,
2020/04/10,Regina,2,60,60,24,2,1,36,0,,,,,
2020/04/10,Total,7,285,284,146,6,2,136,3,,,,,
2020/04/11,"Far North",1,7,7,5,0,0,2,0,,,,,
2020/04/11,North,0,52,52,17,0,0,34,1,,,,,
2020/04/11,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1,,,,,
2020/04/11,Saskatoon,3,145,145,81,5,1,63,1,,,,,
2020/04/11,"South (excluding Regina)",0,15,15,9,0,0,6,0,,,,,
2020/04/11,Regina,0,60,60,23,2,0,36,1,,,,,
2020/04/11,Total,4,289,289,138,7,1,147,4,,,,,
2020/04/12,"Far North",0,7,7,5,0,0,2,0,,,,,
2020/04/12,North,4,56,54,19,0,0,36,1,,,,,
2020/04/12,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1,,,,,
2020/04/12,Saskatoon,2,147,147,68,6,0,78,1,,,,,
2020/04/12,"South (excluding Regina)",0,15,15,9,0,0,6,0,,,,,
2020/04/12,Regina,3,63,63,26,1,0,36,1,,,,,
2020/04/12,Total,9,298,296,130,7,0,164,4,,,,,
2020/04/13,"Far North",0,7,7,5,0,0,2,0,,,,,
2020/04/13,North,0,56,56,15,1,0,40,1,,,,,
2020/04/13,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1,,,,,
2020/04/13,Saskatoon,0,147,147,58,6,0,88,1,,,,,
2020/04/13,"South (excluding Regina)",0,15,15,9,0,0,6,0,,,,,
2020/04/13,Regina,2,65,65,28,1,0,36,1,,,,,
2020/04/13,Total,2,300,300,118,8,0,178,4,,,,,
2020/04/14,"Far North",0,7,7,5,0,0,2,0,,,,,
2020/04/14,North,1,57,57,15,1,0,41,1,,,,,
2020/04/14,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1,,,,,
2020/04/14,Saskatoon,0,147,147,56,5,0,90,1,,,,,
2020/04/14,"South (excluding Regina)",0,15,15,9,0,0,6,0,,,,,
2020/04/14,Regina,0,65,65,22,1,0,42,1,,,,,
2020/04/14,Total,1,301,301,110,7,0,187,4,,,,,
2020/04/15,"Far North",0,7,7,5,0,0,2,0,,,,,
2020/04/15,North,1,58,58,13,1,0,44,1,,,,,
2020/04/15,"Central (excluding Saskatoon)",0,10,10,2,0,0,7,1,,,,,
2020/04/15,Saskatoon,0,147,147,50,4,0,96,1,,,,,
2020/04/15,"South (excluding Regina)",0,15,15,3,0,0,12,0,,,,,
2020/04/15,Regina,2,67,67,22,3,0,44,1,,,,,
2020/04/15,Total,3,304,304,95,8,0,205,4,,,,,
2020/04/16,"Far North",0,7,7,5,0,0,2,0,,,,,
2020/04/16,North,0,58,58,9,1,0,48,1,,,,,
2020/04/16,"Central (excluding Saskatoon)",0,10,10,2,0,0,7,1,,,,,
2020/04/16,Saskatoon,0,147,147,44,2,0,102,1,,,,,
2020/04/16,"South (excluding Regina)",0,15,15,3,0,0,12,0,,,,,
2020/04/16,Regina,1,68,68,19,4,0,48,1,,,,,
2020/04/16,Total,1,305,305,82,7,0,219,4,,,,,
2020/04/17,"Far North",1,8,7,6,0,0,2,0,,,,,
2020/04/17,North,0,58,58,7,0,0,50,1,,,,,
2020/04/17,"Central (excluding Saskatoon)",0,10,10,2,0,0,7,1,,,,,
2020/04/17,Saskatoon,0,147,147,40,2,0,106,1,,,,,
2020/04/17,"South (excluding Regina)",0,15,15,2,0,0,13,0,,,,,
2020/04/17,Regina,1,69,69,18,3,1,50,1,,,,,
2020/04/17,Total,2,307,306,75,5,1,228,4,,,,,
2020/04/18,"Far North",2,10,8,8,0,0,2,0,,,,,
2020/04/18,North,1,59,59,7,0,0,51,1,,,,,
2020/04/18,"Central (excluding Saskatoon)",1,11,11,3,0,0,7,1,,,,,
2020/04/18,Saskatoon,1,148,147,38,2,0,109,1,,,,,
2020/04/18,"South (excluding Regina)",0,15,15,2,0,0,13,0,,,,,
2020/04/18,Regina,1,70,70,17,2,1,52,1,,,,,
2020/04/18,Total,6,313,310,75,4,1,234,4,,,,,
2020/04/19,"Far North",1,11,11,9,0,0,2,0,,,,,
2020/04/19,North,0,59,59,7,0,0,51,1,,,,,
2020/04/19,"Central (excluding Saskatoon)",0,11,11,3,0,0,7,1,,,,,
2020/04/19,Saskatoon,1,149,148,39,2,0,109,1,,,,,
2020/04/19,"South (excluding Regina)",0,15,15,2,0,0,13,0,,,,,
2020/04/19,Regina,0,70,70,17,1,1,52,1,,,,,
2020/04/19,Total,2,315,314,77,3,1,234,4,,,,,
2020/04/20,"Far North",0,11,11,9,0,0,2,0,,,,,
2020/04/20,North,1,60,60,7,0,0,52,1,,,,,
2020/04/20,"Central (excluding Saskatoon)",0,11,11,3,0,0,7,1,,,,,
2020/04/20,Saskatoon,0,149,149,38,2,0,110,1,,,,,
2020/04/20,"South (excluding Regina)",0,15,15,2,0,0,13,0,,,,,
2020/04/20,Regina,0,70,70,15,1,1,54,1,,,,,
2020/04/20,Total,1,316,316,74,3,1,238,4,,,,,
2020/04/21,"Far North",2,13,13,11,0,0,2,0,,,,,
2020/04/21,North,0,60,60,7,1,0,52,1,,,,,
2020/04/21,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/21,Saskatoon,1,150,150,29,2,0,120,1,,,,,
2020/04/21,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/21,Regina,1,71,71,14,1,1,56,1,,,,,
2020/04/21,Total,4,320,320,64,4,1,252,4,,,,,
2020/04/22,"Far North",5,18,18,16,0,0,2,0,,,,,
2020/04/22,North,1,61,61,5,1,0,55,1,,,,,
2020/04/22,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/22,Saskatoon,0,150,150,24,1,1,125,1,,,,,
2020/04/22,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/22,Regina,0,71,71,13,2,0,57,1,,,,,
2020/04/22,Total,6,326,326,61,4,1,261,4,,,,,
2020/04/23,"Far North",4,22,21,19,0,0,3,0,,,,,
2020/04/23,North,1,62,62,5,1,0,56,1,,,,,
2020/04/23,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/23,Saskatoon,0,150,150,20,2,1,129,1,,,,,
2020/04/23,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/23,Regina,0,71,71,10,2,0,60,1,,,,,
2020/04/23,Total,5,331,330,57,5,1,270,4,,,,,
2020/04/24,"Far North",6,28,27,25,0,0,3,0,,,,,
2020/04/24,North,2,64,64,7,1,0,56,1,,,,,
2020/04/24,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/24,Saskatoon,0,150,150,13,1,2,136,1,,,,,
2020/04/24,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/24,Regina,2,73,73,9,1,0,63,1,,,,,
2020/04/24,Total,10,341,340,57,3,2,280,4,,,,,
2020/04/25,"Far North",7,35,33,32,0,0,3,0,,,,,
2020/04/25,North,1,65,65,6,1,0,58,1,,,,,
2020/04/25,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/25,Saskatoon,0,150,150,7,1,2,142,1,,,,,
2020/04/25,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/25,Regina,0,73,73,9,0,0,63,1,,,,,
2020/04/25,Total,8,349,347,57,2,2,288,4,,,,,
2020/04/26,"Far North",0,35,35,32,0,0,3,0,,,,,
2020/04/26,North,3,68,68,9,1,0,58,1,,,,,
2020/04/26,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/26,Saskatoon,0,150,150,7,2,2,142,1,,,,,
2020/04/26,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/26,Regina,1,74,74,10,0,0,63,1,,,,,
2020/04/26,Total,4,353,353,61,3,2,288,4,,,,,
2020/04/27,"Far North",11,46,46,42,0,0,3,1,,,,,
2020/04/27,North,1,69,69,10,3,0,58,1,,,,,
2020/04/27,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/27,Saskatoon,0,150,150,7,2,2,142,1,,,,,
2020/04/27,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/27,Regina,0,74,74,10,0,0,63,1,,,,,
2020/04/27,Total,12,365,365,72,5,2,288,5,,,,,
2020/04/28,"Far North",0,46,46,42,0,0,3,1,,,,,
2020/04/28,North,0,69,69,9,3,0,59,1,,,,,
2020/04/28,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/28,Saskatoon,0,150,150,7,3,2,142,1,,,,,
2020/04/28,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/28,Regina,1,75,75,9,0,0,65,1,,,,,
2020/04/28,Total,1,366,366,70,6,2,291,5,,,,,
2020/04/29,"Far North",11,57,57,52,0,0,3,2,,,,,
2020/04/29,North,5,74,74,14,4,0,59,1,,,,,
2020/04/29,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1,,,,,
2020/04/29,Saskatoon,1,151,151,8,3,3,142,1,,,,,
2020/04/29,"South (excluding Regina)",0,15,15,1,0,0,14,0,,,,,
2020/04/29,Regina,0,75,75,9,0,0,65,1,,,,,
2020/04/29,Total,17,383,383,86,7,3,291,6,,,,,
2020/04/30,"Far North",1,58,58,50,0,0,7,1,,,,,
2020/04/30,North,3,77,77,19,4,0,57,1,,,,,
2020/04/30,"Central (excluding Saskatoon)",0,11,11,1,0,0,9,1,,,,,
2020/04/30,Saskatoon,2,153,153,11,3,3,140,2,,,,,
2020/04/30,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/04/30,Regina,0,75,75,7,0,0,67,1,,,,,
2020/04/30,Total,6,389,389,88,7,3,295,6,,,,,
2020/05/01,"Far North",19,77,77,68,0,0,8,1,,,,,
2020/05/01,North,4,81,81,23,4,0,57,1,,,,,
2020/05/01,"Central (excluding Saskatoon)",0,11,11,1,0,0,9,1,,,,,
2020/05/01,Saskatoon,3,156,156,14,3,3,140,2,,,,,
2020/05/01,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/01,Regina,0,75,75,6,0,0,68,1,,,,,
2020/05/01,Total,26,415,415,112,7,3,297,6,,,,,
2020/05/02,"Far North",0,77,77,66,0,0,10,1,,,,,
2020/05/02,North,4,85,85,27,5,0,57,1,,,,,
2020/05/02,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1,l,,,,
2020/05/02,Saskatoon,1,157,157,13,5,2,142,2,,,,,
2020/05/02,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/02,Regina,1,76,76,7,0,0,68,1,,,,,
2020/05/02,Total,6,421,421,113,10,2,302,6,,,,,
2020/05/03,"Far North",4,81,81,68,0,0,12,1,,,,,
2020/05/03,North,4,89,89,31,5,0,57,1,,,,,
2020/05/03,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1,,,,,
2020/05/03,Saskatoon,4,161,161,16,6,3,143,2,,,,,
2020/05/03,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/03,Regina,0,76,76,7,0,0,68,1,,,,,
2020/05/03,Total,12,433,433,122,11,3,305,6,,,,,
2020/05/04,"Far North",29,110,110,97,0,0,12,1,,,,,
2020/05/04,North,4,93,93,35,2,1,57,1,,,,,
2020/05/04,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1,,,,,
2020/05/04,Saskatoon,1,162,162,17,5,3,143,2,,,,,
2020/05/04,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/04,Regina,0,76,76,5,0,0,70,1,,,,,
2020/05/04,Total,34,467,467,154,7,4,307,6,,,,,
2020/05/05,"Far North",18,128,128,114,0,0,13,1,,,,,
2020/05/05,North,2,95,95,37,2,1,57,1,,,,,
2020/05/05,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1,,,,,
2020/05/05,Saskatoon,0,162,162,16,7,3,144,2,,,,,
2020/05/05,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/05,Regina,0,76,76,4,0,0,71,1,,,,,
2020/05/05,Total,20,487,487,171,9,4,310,6,,,,,
2020/05/06,"Far North",24,152,152,138,0,0,13,1,,,,,
2020/05/06,North,0,95,95,36,2,1,58,1,,,,,
2020/05/06,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1,,,,,
2020/05/06,Saskatoon,1,163,163,17,7,3,144,2,,,,,
2020/05/06,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/06,Regina,0,76,76,3,0,0,72,1,,,,,
2020/05/06,Total,25,512,512,194,9,4,312,6,,,,,
2020/05/07,"Far North",15,167,167,138,0,0,28,1,,,,,
2020/05/07,North,4,99,99,39,2,1,59,1,,,,,
2020/05/07,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1,,,,,
2020/05/07,Saskatoon,0,163,163,16,6,3,145,2,,,,,
2020/05/07,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/07,Regina,0,76,76,3,0,0,72,1,,,,,
2020/05/07,Total,19,531,531,196,8,4,329,6,,,,,
2020/05/08,"Far North",12,179,179,148,0,0,30,1,,,,,
2020/05/08,North,1,100,100,38,6,1,61,1,,,,,
2020/05/08,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1,,,,,
2020/05/08,Saskatoon,0,163,163,15,9,3,146,2,,,,,
2020/05/08,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/08,Regina,0,76,76,2,0,0,73,1,,,,,
2020/05/08,Total,13,544,544,203,15,4,335,6,,,,,
2020/05/09,"Far North",5,184,184,150,0,0,33,1,,,,,
2020/05/09,North,3,103,103,40,6,1,62,1,,,,,
2020/05/09,"Central (excluding Saskatoon)",1,12,12,1,0,0,10,1,,,,,
2020/05/09,Saskatoon,0,163,163,15,4,4,146,2,,,,,
2020/05/09,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/09,Regina,0,76,76,1,0,0,74,1,,,,,
2020/05/09,Total,9,553,553,207,10,5,340,6,,,,,
2020/05/10,"Far North",9,193,193,156,0,0,36,1,,,,,
2020/05/10,North,2,105,105,37,5,0,67,1,,,,,
2020/05/10,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/10,Saskatoon,0,163,163,14,3,4,147,2,,,,,
2020/05/10,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/10,Regina,0,76,76,1,0,0,74,1,,,,,
2020/05/10,Total,11,564,564,209,8,4,349,6,,,,,
2020/05/11,"Far North",4,197,197,151,0,0,45,1,,,,,
2020/05/11,North,0,105,105,33,5,0,71,1,,,,,
2020/05/11,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/11,Saskatoon,0,163,163,13,3,3,148,2,,,,,
2020/05/11,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/11,Regina,0,76,76,1,0,0,74,1,,,,,
2020/05/11,Total,4,568,568,199,8,3,363,6,,,,,
2020/05/12,"Far North",5,202,202,151,0,0,50,1,,,,,
2020/05/12,North,0,105,105,29,5,0,75,1,,,,,
2020/05/12,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/12,Saskatoon,0,163,163,12,3,3,149,2,,,,,
2020/05/12,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/12,Regina,0,76,76,0,0,0,75,1,,,,,
2020/05/12,Total,5,573,573,193,8,3,374,6,,,,,
2020/05/13,"Far North",4,206,206,149,0,0,56,1,,,,,
2020/05/13,North,1,106,106,25,4,0,80,1,,,,,
2020/05/13,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/13,Saskatoon,0,163,163,11,3,3,150,2,,,,,
2020/05/13,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/13,Regina,-1,75,75,0,0,0,74,1,,,,,
2020/05/13,Total,4,577,577,186,7,3,385,6,,,,,
2020/05/14,"Far North",4,210,210,146,0,0,63,1,,,,,
2020/05/14,North,0,106,106,21,3,0,84,1,,,,,
2020/05/14,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/14,Saskatoon,0,163,163,9,3,3,152,2,,,,,
2020/05/14,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/14,Regina,1,76,76,1,1,0,74,1,,,,,
2020/05/14,Total,5,582,582,178,7,3,398,6,,,,,
