Date de décès;CHSLD;RPA;Domicile et Inconnu;RI et Autres;Moyenne mobile sur 7 jours (centrée)
2020-10-21;3;4;14;0;15.4
2020-10-22;5;4;8;1;16.7
2020-10-23;9;1;4;0;16.3
2020-10-24;5;4;7;0;17.1
2020-10-25;5;2;7;2;17.3
2020-10-26;2;1;13;1;17.0
2020-10-27;7;5;4;2;18.3
2020-10-28;7;6;8;1;20.1
2020-10-29;10;2;3;1;20.7
2020-10-30;12;2;9;0;19.9
2020-10-31;15;5;8;1;20.1
2020-11-01;11;2;5;2;20.3
2020-11-02;4;2;4;1;20.7
2020-11-03;8;4;5;3;20.7
2020-11-04;10;10;3;0;19.3
2020-11-05;10;3;5;1;20.3
2020-11-06;13;3;5;2;23.0
2020-11-07;11;4;4;0;24.4
2020-11-08;17;6;4;0;25.3
2020-11-09;8;8;9;5;27.0
2020-11-10;14;5;10;1;26.1
2020-11-11;12;9;7;1;26.7
2020-11-12;23;0;6;2;25.4
2020-11-13;10;2;3;2;24.0
2020-11-14;12;4;4;3;23.3
2020-11-15;10;3;2;3;24.1
2020-11-16;10;4;6;0;23.4
2020-11-17;16;2;4;3;23.6
2020-11-18;12;14;7;2;23.4
2020-11-19;8;7;9;2;24.4
2020-11-20;7;8;1;2;22.9
2020-11-21;6;7;8;1;
2020-11-22;7;5;12;1;
2020-11-23;4;4;1;0;
