"Earliest of symptom onset, test or reported date for cases; date of death for deaths",Sporadic Cases,Community Cases,Institutional Cases,Cumulative Cases,Cumulative Deaths
2020-08-28 00:00:00,17,0,6,2991,266
2020-08-29 00:00:00,15,1,2,3009,266
2020-08-30 00:00:00,7,0,9,3025,266
2020-08-31 00:00:00,13,0,2,3040,267
2020-09-01 00:00:00,22,0,0,3062,267
2020-09-02 00:00:00,21,0,5,3088,267
2020-09-03 00:00:00,13,0,5,3106,267
2020-09-04 00:00:00,16,0,2,3124,267
2020-09-05 00:00:00,4,0,15,3143,267
2020-09-06 00:00:00,9,0,2,3154,267
2020-09-07 00:00:00,5,0,0,3159,267
2020-09-08 00:00:00,4,0,0,3163,267
2020-09-09 00:00:00,0,0,0,3163,267
