"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-05-08","Central","Hamilton Wentworth Det Centre",1,,
"2020-05-08","Central","Maplehurst Correctional Complex",,1,1
"2020-05-08","Central","Ontario Correctional Institute",71,15,2
"2020-05-08","Central","Milton-Vanier Centre For Women",,1,
"2020-05-08","Eastern","Central East Correctional Centre",,1,
"2020-05-08","Northern","Monteith Correctional Centre",,1,
"2020-05-08","Toronto","Toronto South Detention Centre",5,2,
"2020-05-11","Central","Hamilton Wentworth Det Centre",1,,
"2020-05-11","Central","Maplehurst Correctional Complex",,1,1
"2020-05-11","Central","Ontario Correctional Institute",71,15,2
"2020-05-11","Central","Milton-Vanier Centre For Women",,,1
"2020-05-11","Eastern","Central East Correctional Centre",,,1
